what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485851913923
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485851913988
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1485851914021
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485851919267
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485851928477
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1485851928498
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485851931290
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485851931412
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485851959294
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485851966044
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485851967431
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485851967622
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1485851968380
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1485851968425
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1485851968482
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1485851968518
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,"org.eclipse.jst.server.generic.oc4j",1485851968547
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1485851968574
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1485851968599
