what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1485846852448
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1485846854287
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485847081628
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847085095
closed,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485847086098
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847086149
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1485847086168
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847091082
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847095159
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1485847095173
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847105626
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847107029
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1485847107033
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847111095
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847126743
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1485847126757
opened,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485847129649
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485847129756
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1485847141565
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485847145173
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485847151146
closed,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485847151146
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485847153262
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847156458
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485847164722
