what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485857719719
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1485857729371
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1485857735192
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485857741796
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1485857743546
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1485857774650
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485857777301
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485857777397
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485857788890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485857891159
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485857898059
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485857947345
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1485857949798
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1485857953934
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485857967480
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485857968389
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485857970144
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485858030245
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485858062449
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485858063246
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485858063638
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485858065251
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1485858075137
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1485858085039
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1485858100067
